word;category;mean Happiness;mean Anger;mean Sadness;mean Fear;mean Disgust;H;A;S;F;D;N;min distance;category;;emotions
abdykowaæ;U;1.692;1.577;2.231;1.962;1.385;5.957;6.162;5.480;5.850;6.361;2.486;2.486;N;718;Happiness
absurd;A;2.154;3.423;2.192;2.346;2.423;6.614;5.496;6.906;6.742;6.505;4.518;4.518;N;80;Anger
adiutant;N;1.963;1.481;1.519;1.667;1.333;5.532;6.094;6.052;5.873;6.215;1.738;1.738;N;99;Sadness
administracja;U;1.731;3.385;2.192;2.577;2.654;7.184;5.786;6.970;6.665;6.564;4.345;4.345;N;122;Fear
adoptowaæ;U;3.593;1.926;2.259;2.815;1.407;5.208;7.094;6.630;6.284;7.498;4.239;4.239;N;52;Disgust
adresat;N;2.731;1.577;1.500;1.731;1.385;4.860;6.309;6.388;6.142;6.489;2.421;2.421;N;1831;Neutral
Adriatyk;U;3.778;1.259;1.370;1.852;1.111;3.888;6.861;6.814;6.350;7.026;3.257;3.257;N;;
adwentowy;U;3.370;1.815;1.963;1.481;1.667;4.411;6.543;6.415;6.942;6.728;3.961;3.961;N;;
adwokat;F;2.308;2.231;2.231;3.385;2.077;6.391;6.743;6.753;5.487;6.811;4.224;4.224;N;;
afekt;N;1.538;2.038;1.615;1.769;1.500;6.050;5.531;6.045;5.870;6.135;2.103;2.103;N;;
agent;F;1.615;2.577;1.500;2.808;2.346;6.800;5.962;6.983;5.482;6.188;3.688;3.688;N;;
agresywny;U;1.385;4.500;3.731;4.962;3.769;9.179;6.868;7.647;6.566;7.615;7.066;6.566;F;;
akademia;U;4.259;1.259;1.222;2.037;1.259;3.472;7.060;7.077;6.348;7.018;3.757;3.472;H;;
akademik;U;3.577;1.423;1.692;1.731;2.000;4.351;6.999;6.778;6.709;6.458;3.668;3.668;N;;
akcent;N;3.000;1.481;1.111;1.519;1.222;4.373;6.290;6.646;6.242;6.545;2.445;2.445;N;;
akceptowaæ;U;4.769;1.769;1.654;2.115;1.923;3.790;7.358;7.421;7.174;7.281;4.943;3.790;H;;
akcja;U;3.846;1.692;1.500;2.615;1.346;4.280;6.817;7.000;5.846;7.134;3.920;3.920;N;;
akrobatyczny;U;3.407;1.407;1.556;2.296;1.556;4.586;6.923;6.816;6.056;6.778;3.517;3.517;N;;
aktywnoœæ;U;4.923;1.423;1.308;1.692;1.115;2.884;7.177;7.286;6.967;7.427;4.275;2.884;H;;
aktywny;U;4.846;1.923;1.654;1.885;1.577;3.473;7.124;7.315;7.154;7.385;4.674;3.473;H;;
akwarium;U;3.769;1.154;1.385;1.269;1.769;3.841;6.986;6.748;6.882;6.331;3.305;3.305;N;;
alarm;F;1.423;3.038;2.269;4.385;1.885;7.834;6.706;7.278;5.020;7.602;5.121;5.020;F;;
album;U;3.731;1.269;1.577;1.115;1.115;3.705;6.746;6.434;6.859;6.871;3.013;3.013;N;;
aleja;U;4.259;1.370;1.630;1.852;1.222;3.662;7.254;7.020;6.809;7.325;4.005;3.662;H;;
alkohol;U;3.407;2.889;3.037;3.037;2.889;5.967;7.067;6.947;6.953;7.041;5.536;5.536;N;;
alkoholik;U;1.308;5.385;5.346;4.846;5.231;10.643;8.159;8.098;8.591;8.214;8.904;8.098;S;;
altanka;U;4.923;1.115;1.692;1.154;1.115;2.741;7.401;6.968;7.392;7.411;4.251;2.741;H;;
altruistyczny;U;3.423;1.654;1.769;1.692;1.423;4.520;6.815;6.741;6.817;6.985;3.397;3.397;N;;
amatorski;N;2.115;1.846;1.500;1.769;1.615;5.545;5.999;6.349;6.090;6.198;2.386;2.386;N;;
ambasada;N;2.593;1.370;1.222;1.741;1.333;4.925;6.383;6.524;6.013;6.410;2.148;2.148;N;;
ambicja;U;4.115;2.000;1.538;2.462;1.538;4.426;7.045;7.428;6.577;7.369;4.443;4.426;H;;
ambitny;U;5.077;1.577;1.654;1.808;1.077;2.801;7.242;7.211;7.054;7.672;4.727;2.801;H;;
ambona;U;2.074;2.444;1.926;2.148;2.296;6.418;6.330;6.713;6.487;6.465;3.296;3.296;N;;
Ameryka;U;4.269;1.654;1.692;2.269;1.808;4.098;7.091;7.114;6.562;6.891;4.429;4.098;H;;
